cell,shock,clock,books,paired_gap_bps,cluster
wick-1block-night-b1,wick-1block,night,1,5287.258308,material
wick-1block-work-b1,wick-1block,work,1,5293.597953,material
wick-1block-night-b1,wick-1block,night,1,5298.548043,material
wick-1block-work-b1,wick-1block,work,1,5302.236653,material
wick-1block-night-b1,wick-1block,night,1,5307.749164,material
wick-1block-work-b1,wick-1block,work,1,5309.963811,material
wick-1block-night-b1,wick-1block,night,1,5320.064624,material
wick-1block-night-b1,wick-1block,night,1,5327.352286,material
wick-1block-night-b1,wick-1block,night,1,5329.642775,material
wick-1block-work-b1,wick-1block,work,1,5330.668568,material
wick-1block-work-b1,wick-1block,work,1,5331.890776,material
wick-1block-work-b1,wick-1block,work,1,5334.007569,material
wick-1block-night-b1,wick-1block,night,1,5343.248637,material
wick-1block-night-b1,wick-1block,night,1,5344.173649,material
wick-1block-work-b1,wick-1block,work,1,5345.288283,material
wick-1block-work-b1,wick-1block,work,1,5351.644209,material
wick-1block-work-b1,wick-1block,work,1,5352.012338,material
wick-1block-work-b1,wick-1block,work,1,5352.126864,material
wick-1block-night-b1,wick-1block,night,1,5354.422376,material
wick-1block-work-b1,wick-1block,work,1,5355.086280,material
wick-1block-work-b1,wick-1block,work,1,5355.620076,material
wick-1block-night-b1,wick-1block,night,1,5357.652830,material
wick-1block-work-b1,wick-1block,work,1,5357.883165,material
wick-1block-night-b1,wick-1block,night,1,5358.711987,material
wick-1block-night-b1,wick-1block,night,1,5359.368293,material
wick-1block-work-b1,wick-1block,work,1,5363.434373,material
wick-1block-work-b3,wick-1block,work,3,5364.047857,material
wick-1block-work-b3,wick-1block,work,3,5364.921275,material
wick-1block-night-b1,wick-1block,night,1,5367.391981,material
wick-1block-night-b1,wick-1block,night,1,5367.423486,material
wick-1block-work-b1,wick-1block,work,1,5367.767058,material
wick-1block-night-b1,wick-1block,night,1,5369.843577,material
wick-1block-night-b1,wick-1block,night,1,5370.545217,material
wick-1block-night-b1,wick-1block,night,1,5371.592924,material
wick-1block-night-b1,wick-1block,night,1,5374.236464,material
wick-1block-work-b1,wick-1block,work,1,5379.490391,material
wick-1block-work-b1,wick-1block,work,1,5380.613180,material
wick-1block-work-b1,wick-1block,work,1,5384.946413,material
wick-1block-work-b1,wick-1block,work,1,5387.501128,material
wick-1block-night-b1,wick-1block,night,1,5389.075004,material
wick-1block-night-b1,wick-1block,night,1,5393.641999,material
wick-1block-night-b3,wick-1block,night,3,5398.475142,material
wick-1block-work-b1,wick-1block,work,1,5399.271491,material
wick-1block-night-b1,wick-1block,night,1,5400.339267,material
wick-1block-work-b3,wick-1block,work,3,5406.534103,material
wick-1block-work-b1,wick-1block,work,1,5422.402978,material
wick-1block-night-b1,wick-1block,night,1,5423.952980,material
wick-1block-night-b1,wick-1block,night,1,5432.477463,material
