cell,shock,clock,books,paired_gap_bps,cluster
wick-persist-work-b3,wick-persist,work,3,142.609768,material
crash-night-b3,crash,night,3,143.066376,material
crash-night-b3,crash,night,3,143.899950,material
wick-persist-night-b3,wick-persist,night,3,143.997340,material
crash-night-b1,crash,night,1,144.629329,material
crash-night-b3,crash,night,3,144.728806,material
wick-persist-work-b3,wick-persist,work,3,144.918127,material
wick-persist-night-b3,wick-persist,night,3,145.001582,material
wick-persist-night-b3,wick-persist,night,3,145.013466,material
crash-night-b1,crash,night,1,145.155925,material
wick-persist-work-b3,wick-persist,work,3,145.163953,material
wick-persist-night-b3,wick-persist,night,3,146.412097,material
crash-night-b1,crash,night,1,146.714964,material
grind-night-b3,grind,night,3,146.789953,material
wick-persist-work-b3,wick-persist,work,3,147.170911,material
crash-night-b3,crash,night,3,147.606965,material
crash-night-b1,crash,night,1,148.062537,material
wick-persist-work-b3,wick-persist,work,3,148.501179,material
wick-persist-work-b3,wick-persist,work,3,149.348462,material
wick-persist-work-b3,wick-persist,work,3,149.378582,material
crash-night-b3,crash,night,3,149.404394,material
crash-night-b3,crash,night,3,149.526088,material
wick-persist-work-b3,wick-persist,work,3,149.857155,material
wick-persist-night-b3,wick-persist,night,3,150.072241,material
wick-persist-work-b3,wick-persist,work,3,150.109874,material
crash-night-b1,crash,night,1,150.237204,material
wick-persist-night-b3,wick-persist,night,3,150.538029,material
crash-night-b3,crash,night,3,151.080292,material
crash-night-b1,crash,night,1,151.896035,material
wick-persist-night-b3,wick-persist,night,3,151.964449,material
crash-work-b3,crash,work,3,152.219953,material
crash-work-b1,crash,work,1,152.475821,material
wick-persist-work-b3,wick-persist,work,3,152.560059,material
wick-persist-work-b3,wick-persist,work,3,152.918359,material
crash-night-b1,crash,night,1,153.642356,material
crash-work-b3,crash,work,3,154.230135,material
